G1bse_mse	G1bse_dc_error	G1n01_mse	G1n01_dc_error	G1n05_mse	G1n05_dc_error	G1n10_mse	G1n10_dc_error	G2bse_mse	G2bse_dc_error	G2n01_mse	G2n01_dc_error	G2n05_mse	G2n05_dc_error	G2n10_mse	G2n10_dc_error	G3bse_mse	G3bse_dc_error	G3n01_mse	G3n01_dc_error	G3n05_mse	G3n05_dc_error	G3n10_mse	G3n10_dc_error	G4bse_mse	G4bse_dc_error	G4n01_mse	G4n01_dc_error	G4n05_mse	G4n05_dc_error	G4n10_mse	G4n10_dc_error	data	noise	loss	batch_size	epochs	layers	out_unit	dropout	batchnorm	lr	weight_decay	stop	warmup	schedule	factor	patience	seed	measure	normalize	num_workers	cuda	valid_fraction	best_epochs
5.363788604736328	0.5979390144348145	16.507822036743164	5.855419158935547	339.99725341796875	37.309478759765625	1558.1297607421875	76.07568359375	8.413416862487793	0.782697319984436	19.184314727783203	5.496552467346191	335.986572265625	35.073856353759766	1572.0567626953125	81.81829833984375	5.531898932531476e-05	0.025696026161313057	20.583040237426758	8.1428861618042	545.089111328125	42.3829460144043	2206.5146484375	84.5999984741211	6.3442535400390625	0.33676162362098694	17.32781982421875	5.768184185028076	330.6373596191406	36.23877716064453	1555.743896484375	79.8633041381836	G3	0.0	invMSELoss	229	1000	[128, 1992, 1587, 2808, 512]	None	0	True	0.0006039891498480804	0	40	True	True	0.8894288636765014	10	1582527983	Normal	False	0	False	0.3	[6, 1, 6, 1, 4, 1, 2, 1, 6, 1, 6, 1, 4, 1, 2, 1, 214, 190, 1, 1, 1, 1, 1, 1, 6, 1, 6, 1, 4, 1, 2, 1]
4.676117420196533	9.297945976257324	16.939035415649414	15.052032470703125	334.7833251953125	93.1158447265625	1404.368896484375	185.9002227783203	7.541022300720215	12.79315185546875	20.07499885559082	15.755988121032715	341.9488525390625	86.22506713867188	1407.22216796875	176.408203125	7.50630788388662e-05	0.013029446825385094	12.486539840698242	17.261930465698242	358.9679260253906	97.745361328125	1520.0118408203125	211.03372192382812	5.6153130531311035	10.630376815795898	18.373741149902344	15.478963851928711	325.39739990234375	85.69078826904297	1410.880859375	183.8573455810547	G3	0.0	MSELoss	357	1000	[128, 157, 601, 575, 794, 77, 512]	ReLU	0	True	0.0008424632312041786	0	40	True	True	0.37333999102927606	6	1582601935	Normal	False	0	False	0.3	[2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 215, 196, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1]
3.944918155670166	0.9937753081321716	12.256180763244629	6.59501838684082	220.98269653320312	42.459938049316406	918.12548828125	85.0316390991211	6.463979721069336	1.5633050203323364	15.030430793762207	6.215095520019531	220.27618408203125	34.696781158447266	859.8309936523438	83.07902526855469	5.199788574827835e-05	0.015549741685390472	10.366178512573242	8.512256622314453	286.7738952636719	46.98118591308594	1151.140380859375	92.35346221923828	4.922120571136475	1.1951762437820435	13.003262519836426	6.239887714385986	218.4609375	40.33147430419922	918.337646484375	85.20175170898438	G3	0.0	expMSELoss	190	1000	[128, 2923, 1606, 2818, 512]	None	0	True	0.0006835392194398599	0	40	True	True	0.28486817578133294	5	1582527955	Normal	False	0	False	0.3	[3, 2, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 233, 246, 1, 1, 1, 1, 1, 1, 3, 2, 3, 2, 3, 2, 2, 2]
3.9428653717041016	8.553703308105469	22.46970558166504	21.76365089416504	307.95037841796875	84.32765197753906	1427.825927734375	153.5928955078125	6.24320650100708	11.496749877929688	22.99800682067871	23.049793243408203	288.5903015136719	80.71781921386719	1418.91845703125	159.0778045654297	9.97321549220942e-05	0.02679041586816311	21.65724754333496	17.603382110595703	561.69287109375	88.24097442626953	2281.467529296875	181.39056396484375	4.671088218688965	9.213074684143066	21.622459411621094	21.199466705322266	301.14544677734375	79.40216827392578	1426.7191162109375	160.61834716796875	G3	0.0	MSELoss	35	1000	[128, 101, 1182, 913, 512]	ReLU	0	True	3.430471915004689e-05	0	40	True	True	0.8176355338123591	10	1582527955	Normal	False	0	False	0.3	[5, 5, 5, 3, 3, 2, 2, 2, 5, 5, 5, 3, 3, 3, 2, 2, 86, 66, 1, 1, 1, 1, 1, 1, 5, 5, 5, 3, 3, 3, 2, 2]
3.3617231845855713	1.048262596130371	16.963359832763672	11.846378326416016	726.0494384765625	67.79851531982422	3844.116455078125	134.5569610595703	5.247633934020996	1.4308757781982422	20.41779899597168	11.098194122314453	716.5059204101562	68.20235443115234	3778.701416015625	128.39974975585938	2.0562827558023855e-05	0.01386832445859909	86.67610931396484	30.215242385864258	2377.633544921875	165.50662231445312	9282.5029296875	331.520751953125	3.8026442527770996	0.6580206751823425	19.056907653808594	10.902934074401855	685.0648803710938	62.586055755615234	3776.48046875	128.86065673828125	G3	0.0	MSELoss	404	1000	[128, 196, 161, 349, 593, 346, 308, 124, 192, 397, 512]	None	0	True	0.0005334965533773849	0	40	True	True	0.39758167769422276	7	1582527955	Normal	False	0	False	0.3	[46, 25, 46, 22, 7, 10, 3, 10, 46, 25, 46, 22, 7, 10, 3, 10, 206, 186, 1, 1, 1, 1, 1, 1, 46, 25, 46, 23, 7, 10, 3, 10]
10.835174560546875	4.953880310058594	27.00918960571289	13.431782722473145	438.40814208984375	75.43452453613281	2412.0126953125	147.77020263671875	17.379541397094727	6.664699077606201	35.457881927490234	14.595279693603516	420.745849609375	64.75281524658203	2400.2607421875	141.83950805664062	0.00013233577192295343	0.014836912043392658	22.04414176940918	14.373520851135254	628.7021484375	80.19747161865234	2524.12841796875	166.57623291015625	12.728229522705078	4.961524486541748	30.401107788085938	14.097611427307129	432.0562438964844	73.43585205078125	2433.98046875	148.50662231445312	G3	0.0	expMSELoss	440	1000	[128, 948, 62, 1009, 933, 512]	None	0	True	0.0008205377899524057	0	40	True	True	0.08855646588291406	7	1582527962	Normal	False	0	False	0.3	[3, 3, 3, 3, 3, 1, 1, 1, 3, 3, 3, 3, 3, 2, 1, 1, 99, 126, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 1, 1, 1]
0.6083629131317139	0.2514832019805908	2.226278305053711	1.2509362697601318	72.2031478881836	9.254717826843262	397.01983642578125	22.245676040649414	0.947391152381897	0.020194219425320625	2.506974458694458	0.37338167428970337	73.13941192626953	10.161637306213379	293.677490234375	22.04932975769043	0.00017764295625966042	0.019814785569906235	3.9437923431396484	3.898427724838257	103.61808776855469	14.649584770202637	412.43121337890625	31.596622467041016	0.6996409893035889	0.12434930354356766	2.1914944648742676	0.7788585424423218	41.73908233642578	11.067530632019043	406.9510803222656	25.06157875061035	G3	0.0	invMSELoss	388	1000	[128, 2406, 512]	ReLU	0	True	0.0006309904584532956	0	40	True	True	0.10035440160308605	9	1582527955	Normal	False	0	False	0.3	[6, 3, 6, 1, 3, 1, 1, 1, 6, 3, 6, 1, 3, 1, 3, 1, 178, 204, 1, 1, 1, 1, 1, 1, 6, 3, 6, 1, 6, 1, 1, 1]
0.587539553642273	1.5179985761642456	0.8877167701721191	3.834418773651123	12.203761100769043	31.366724014282227	28.08707046508789	55.36488723754883	0.9628824591636658	2.3072943687438965	1.2944329977035522	3.910271644592285	11.704379081726074	28.954669952392578	32.04530334472656	68.4126968383789	3.829677007161081e-05	0.019914081320166588	0.14152497053146362	2.7290143966674805	3.030809164047241	12.194530487060547	12.996185302734375	25.59035301208496	0.7040181756019592	1.7025227546691895	1.0019499063491821	3.999081611633301	11.000691413879395	28.820892333984375	29.810270309448242	71.61266326904297	G3	0.0	expMSELoss	142	1000	[128, 1760, 512]	None	0.12596876346073246	False	0.0004135227233998367	0	40	True	True	0.7500508635819775	6	1582601976	Normal	False	0	False	0.3	[5, 12, 5, 8, 5, 8, 4, 6, 5, 12, 5, 12, 5, 8, 4, 8, 343, 353, 3, 3, 1, 1, 1, 1, 5, 12, 5, 8, 5, 8, 4, 8]
0.537982702255249	0.742609977722168	10.316309928894043	0.5848322510719299	2104.716064453125	1.0061501264572144	9342.318359375	1.8613307476043701	0.923374593257904	0.40588656067848206	10.35429859161377	0.17848533391952515	392.659912109375	0.43287327885627747	8911.1396484375	1.0539149045944214	0.0001454899029340595	0.018283531069755554	67.658935546875	1.6035975217819214	2243.07763671875	2.781231641769409	9281.4443359375	3.9574503898620605	0.700234055519104	0.5899539589881897	10.122930526733398	0.3732706308364868	2109.1142578125	0.8996045589447021	9109.55859375	1.0254508256912231	G3	0.0	expL1Loss	840	1000	[128, 579, 175, 181, 551, 222, 111, 147, 273, 347, 512]	ReLU	0	True	8.162531720397716e-05	0	40	True	True	0.2228790655404354	4	1582527962	Normal	False	0	False	0.3	[423, 1, 46, 1, 1, 1, 1, 1, 423, 1, 46, 1, 28, 1, 1, 1, 489, 502, 1, 1, 1, 1, 1, 1, 423, 1, 46, 1, 1, 1, 1, 1]
0.304712176322937	1.8366538286209106	0.6206502318382263	3.9956560134887695	7.82281494140625	18.683961868286133	9.25044059753418	18.07144546508789	0.48956412076950073	2.6642816066741943	0.6962699294090271	4.015416622161865	12.291743278503418	24.22817039489746	9.600340843200684	41.77421951293945	0.00010493113950360566	0.0266108438372612	0.11246237903833389	1.9193077087402344	2.051467180252075	7.974751949310303	9.096954345703125	17.54117202758789	0.3706701695919037	2.084153413772583	0.6408634781837463	3.675013303756714	11.76916217803955	19.652084350585938	9.174800872802734	45.686092376708984	G3	0.0	expL1Loss	299	1000	[128, 1428, 512]	None	0	False	0.0007937270744117379	0	40	True	True	0.7256863725272622	6	1582527955	Normal	False	0	False	0.3	[9, 20, 9, 11, 7, 8, 1, 1, 9, 20, 9, 20, 8, 10, 1, 8, 464, 455, 4, 5, 1, 1, 1, 1, 9, 20, 9, 10, 8, 8, 1, 8]
